Problem,NameTest,User,Module,Image,Timestamp,TimeBlock,TimeVideo,TimeDetection,URL_Media,Codigo_Media,URL,XEyeTracking,YEyeTracking,Distance,Velocity,Blinks,B_left_horizontal,B_left_vertical,B_right_horizontal,B_right_vertical,PLeftEAR,PRightEAR,XFrame,YFrame,WFrame,HFrame,XEyeLeft,YEyeLeft,GazeRatioLeft,LWLeft,RWLeft,XEyeRight,YEyeRight,GazeRatioRight,LWRight,RWRight,GazeRatioAvg,FrownT,Pitch,Roll,Yaw,XPose,YPose,WidthPose,HeightPose,MouthRatio,VMouth,HMouth,Anger,Disgust,Fear,Joy,Sadness,Surprise,Neutral,Anticipation,Trust,Love,Submission,Awe,Disapproval,Remorse,Contempt,Agressiveness,Optimism,Guilt,Curiosity,Despair,Unbelief,Envy,Cynicism,Pride,Hope,Delight,Sentimentality,Shame,Outrage,Pessimism,Morbidness,Dominance,Anxiety,Predominant,Trend,Veracity,Positive valence,Negative valence,Jvalence,Jarousal,Jdominance,Evalence,Earousal,Dvalence,Darousal,Intensity,eng_blinks,eng_frownt,FOCUS,Stress,Variant2,Stress_intens,Cognitive effort,Frustration,Interest,Rejection,Commitment,Confusion,Comprehension,Performance,Confidence 1,Confidence 2,PerformancePolit,Variant
0,Test,ID1,BV01,1383,0,276600,0,276600,Undified,Nan,faces\-9072442941723809813.png,,,,,22,22.203603311174522,4.611062569605222,21.213203435596427,5.0990195135927845,20,24,348,91,76,8,348,91,500,5,0,402,92,100,0,0,300,16,167,1,-10,311,45,149,149,1.8470550684902447,96.04686356149271,52.0,0.0,0.0,0.0,0.0,71.0,0.0,28.0,50,0.0,0,0,0,36,36,0,0,0,0,0,36,0,36,25,0,25,0,0,0,0,60,0,0,25,Sadness,Neutral,75.0,12.345679012345679,87.65432098765432,-20,55,38,-52,-54,-84,-45,71.0,57.080291970802925,30.0,91.90457695670509,69.18258252705172,69.18258252705172,69.18258252705172,65.55189536017708,69.18258252705172,83.99877247774668,1.619084608658983,21.343754495549337,38.9741019768557,48.82059566629011,10.03175268606568,100.0,100.0,27.399815871662007,42.7425188701711
0,Test,ID1,BV01,1391,0,278200,0,278200,Undified,Nan,faces\-8496045024065710967.png,,,,,22,23.0,5.0,22.09072203437452,5.5,21,24,345,118,79,10,345,118,500,6,0,401,121,100,0,0,300,20,173,4,-11,311,78,149,150,1.7525040114624626,91.19758768739443,52.038447325030745,48.0,0.0,1.0,0.0,0.0,0.0,51.0,50,0.0,0,0,1,0,0,24,0,0,0,0,0,0,24,25,24,25,0,0,0,24,25,0,0,26,Neutral,Neutral,75.0,0.0,0.0,-6,10,3,14,18,-5,-8,0.0,57.10144927536232,20.0,90.09896963959824,0.0,0.0,56.0488043568919,56.36459783243302,26.90342609130811,79.97865809744867,40.380206072080355,15.995731619489735,27.34572878053922,65.6212827853135,24.55679280289352,94.8,52.0,30.546798714617303,3.4294814343991926
0,Test,ID1,BV01,1398,0,279600,0,279600,Undified,Nan,faces\-5425119602690743290.png,,,,,27,25.179356624028344,6.576915171081848,24.0,7.0,26,29,345,137,83,13,345,137,500,32,0,403,142,100,0,0,300,19,-176,4,-5,311,95,149,149,1.4190860825667035,75.4254598925323,53.150729063673246,0.0,0.0,0.0,71.0,0.0,0.0,29.0,50,0.0,36,0,0,0,0,0,0,0,36,0,0,0,0,25,36,25,36,0,0,0,25,36,0,25,Joy,Neutral,75.0,100.0,0.0,97,16,81,95,21,77,6,71.0,57.122302158273385,22.5,96.77064550110329,0.0,0.0,59.07775139012317,58.491116620568235,0.0,85.28678683694277,0.6458708997793423,67.32535736738856,0.625415946192795,95.72834592674006,79.4445313019097,100.0,100.0,83.94301802554142,19.83471982064265
0,Test,ID1,BV01,1409,0,281800,0,281800,Undified,Nan,faces\3887689271485083288.png,,,,,30,22.02271554554524,6.5,22.203603311174522,7.035533905932738,29,31,336,99,78,13,336,99,500,28,0,391,103,100,0,0,300,16,170,5,-12,294,62,149,149,1.7533785339126975,93.1933474020544,53.150729063673246,0.0,0.0,0.0,67.0,0.0,3.0,30.0,50,0.0,34,0,2,2,0,0,0,0,34,2,0,2,0,25,34,25,35,0,0,2,25,34,0,25,Joy,Neutral,75.0,100.0,0.0,92,22,76,90,22,78,4,70.0,57.14285714285714,30.0,88.3563903558904,0.0,0.0,69.18258252705172,65.57066491179334,0.0,81.52067272266127,2.3287219288219205,66.14413454453226,1.1271880072180052,95.05031686649171,78.5851998673145,100.0,100.0,83.52810090839918,21.25729335739335
0,Test,ID1,BV01,1412,0,282400,0,282400,Undified,Nan,faces\-8442958782902539929.png,,,,,20,22.02271554554524,4.549509756796391,22.02271554554524,4.549509756796391,20,20,330,119,78,6,330,119,500,17,0,385,119,100,0,0,300,17,172,1,-4,294,78,149,150,1.7376924863190206,85.14693182963201,49.0,0.0,0.0,0.0,24.0,18.0,0.0,57.0,50,0.0,12,0,0,9,9,0,0,0,12,0,9,0,9,25,12,25,12,0,0,0,34,12,0,25,Neutral,Neutral,75.0,0.0,0.0,-8,13,7,21,11,-5,-8,0.0,57.16312056737589,27.5,97.31410088943862,0.0,0.0,65.63555554708402,63.093825053171585,11.814399998475123,87.0480181385585,0.537179822112276,17.4096036277117,7.084605860688617,82.53711712530496,28.015716247170122,100.0,100.0,41.30720272078378,1.95561953842433
0,Test,ID1,BV01,1417,0,283400,0,283400,Undified,Nan,faces\-7529223580656569018.png,,,,,30,23.08679276123039,7.0,24.08318915758459,7.531128874149275,30,31,319,117,82,13,319,121,950,19,2,376,117,100,0,0,525,19,175,-3,21,300,93,124,124,1.7019852620634923,80.15609770940699,47.095647357266465,54.0,0.0,0.0,0.0,0.0,0.0,46.0,50,0.0,0,0,0,0,0,27,0,0,0,0,0,0,27,25,27,25,0,0,0,27,25,0,0,25,Anger,Neutral,75.0,15.625,84.375,-39,72,30,-53,92,-43,63,54.0,57.183098591549296,22.5,54.69923187138037,0.0,0.0,59.07775139012317,58.50935555055101,59.07775139012317,55.84226897513156,52.26015362572393,23.480453795026314,48.59334456355253,42.409551246671136,14.501522368450004,94.6,46.0,23.32634034626974,45.06235432994928
0,Test,ID1,BV01,1419,0,283800,0,283800,Undified,Nan,faces\233249529403982172.png,,,,,23,23.08679276123039,5.541381265149108,25.019992006393608,6.0,24,23,318,120,83,11,318,124,500,23,0,375,120,100,0,0,300,18,176,-2,23,277,78,150,150,1.6826914511153181,79.1580697086532,47.04253394535629,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,25,Neutral,Neutral,75.0,0.0,0.0,-3,11,5,15,17,-4,-8,0.0,57.2027972027972,25.0,43.806809080943516,0.0,0.0,62.27038648477501,60.75010970018167,0.0,48.88979926671496,11.238638183811297,9.777959853342992,3.791171874723809,81.45604242689244,18.768054059367984,100.0,100.0,35.933469890007245,12.637239582412697
0,Test,ID1,BV01,1421,0,284200,0,284200,Undified,Nan,faces\2810219208969108167.png,,,,,21,23.0,5.5,24.020824298928627,5.0,23,20,323,119,81,7,323,119,500,43,0,379,119,100,1,1,300,19,174,0,10,300,93,124,124,1.6275690956429123,83.00602387778855,51.0,0.0,0.0,0.0,0.0,66.0,0.0,34.0,50,0.0,0,0,0,33,33,0,0,0,0,0,33,0,33,25,0,25,0,0,0,0,58,0,0,25,Sadness,Neutral,75.0,13.157894736842104,86.8421052631579,-28,46,47,-57,-54,-84,-45,66.0,57.22222222222222,22.5,91.66804048651306,59.07775139012317,59.07775139012317,59.07775139012317,58.52109263975288,59.07775139012317,81.72395613248501,1.6663919026973872,20.568791226497005,33.40934750204362,53.044917611613606,8.63548079428261,100.0,100.0,26.058593419872757,41.26580710737575
0,Test,ID1,BV01,1482,0,296400,0,296400,Undified,Nan,faces\5812819201879032033.png,,,,,22,22.02271554554524,5.0,22.09072203437452,5.049509756796391,22,22,352,119,75,11,352,119,500,3,0,404,123,100,0,0,300,14,174,5,-15,311,78,149,150,1.6383325004989917,85.58621384311844,52.23983154643591,0.0,0.0,0.0,71.0,0.0,0.0,29.0,50,0.0,36,0,0,0,0,0,0,0,36,0,0,0,0,25,36,25,36,0,0,0,25,36,0,25,Joy,Neutral,75.0,100.0,0.0,97,24,86,99,23,77,5,71.0,57.241379310344826,35.0,80.10418313758561,0.0,0.0,76.86205265937357,70.97585065466495,0.0,77.36568339270941,3.9791633724828785,65.74113667854189,1.6075421151931395,94.15053464711644,77.306474312889,100.0,100.0,82.75485250890641,23.108473717310467
0,Test,ID1,BV01,1488,0,297600,0,297600,Undified,Nan,faces\7250790612413756877.png,,,,,24,25.079872407968914,6.0,25.179356624028344,6.576915171081848,23,26,374,116,89,13,374,121,500,10,0,437,116,100,0,0,300,21,179,-3,13,344,78,149,150,1.4817383337371468,83.0963296421689,56.08029957123981,0.0,0.0,0.0,0.0,32.0,0.0,68.0,50,0.0,0,0,0,16,16,0,0,0,0,0,16,0,16,25,0,25,0,0,0,0,41,0,0,25,Neutral,Neutral,75.0,0.0,0.0,-4,7,7,22,14,-4,-6,0.0,57.26027397260274,17.5,86.54475225759381,0.0,0.0,53.17515301305708,54.400689300920774,17.016048964178264,76.90153337059189,2.6910495484812373,15.38030667411838,10.577100698952007,78.82847277789757,25.50823062043773,100.0,100.0,40.13523000558878,4.060912562179868
0,Test,ID1,BV01,1492,0,298400,0,298400,Undified,Nan,faces\-8651840527112483007.png,,,,,24,23.021728866442675,5.049509756796391,21.02379604162864,6.041381265149108,21,28,316,121,79,9,316,121,500,10,0,373,122,100,0,0,300,16,171,3,-8,277,78,150,150,1.7771172107065012,85.375640553966,48.04164859785725,0.0,0.0,0.0,0.0,61.0,0.0,39.0,50,0.0,0,0,0,30,30,0,0,0,0,0,30,0,30,25,0,25,0,0,0,0,56,0,0,25,Sadness,Neutral,75.0,14.084507042253522,85.91549295774648,-28,46,38,-52,-61,-84,-43,61.0,57.27891156462585,30.0,94.5886552942058,69.18258252705172,69.18258252705172,69.18258252705172,65.61148123832396,69.18258252705172,85.89550307744123,1.0822689411588413,21.08310061548825,38.78326433753222,49.16293883771835,8.04016965313214,100.0,100.0,25.68432546161619,39.17168639828254
0,Test,ID1,BV01,1493,0,298600,0,298600,Undified,Nan,faces\2648696620516202768.png,,,,,25,24.020824298928627,6.041381265149108,23.08679276123039,6.0827625302982185,25,26,314,120,80,10,314,120,500,15,0,370,122,100,0,0,300,17,170,4,-16,277,78,150,150,1.7045052297637031,90.35485598461214,53.009433122794285,24.0,0.0,1.0,0.0,4.0,0.0,71.0,50,0.0,0,0,1,2,2,12,0,0,0,0,2,0,14,25,12,25,0,0,0,12,27,0,0,26,Neutral,Neutral,75.0,0.0,0.0,-7,4,6,18,17,-5,-7,0.0,57.2972972972973,27.5,76.45884557226697,0.0,0.0,65.63555554708402,63.134078072148,15.752533331300164,72.46141532223128,23.908230885546608,14.492283064446255,16.241768003284477,73.75272712959554,23.490626543517372,97.2,76.0,34.21921229833469,6.059582236897958
0,Test,ID1,BV01,1532,0,306400,0,306400,Undified,Nan,faces\3263289888091676391.png,,,,,26,24.186773244895647,6.0827625302982185,21.095023109728988,6.0,25,28,350,144,74,14,350,144,500,30,0,402,150,100,0,0,300,14,-175,4,-26,311,95,149,149,1.4966448392875678,70.40596565632774,47.04253394535629,53.0,0.0,0.0,0.0,0.0,0.0,47.0,50,0.0,0,0,0,0,0,26,0,0,0,0,0,0,26,25,26,25,0,0,0,26,25,0,0,25,Anger,Neutral,75.0,15.873015873015872,84.12698412698413,-44,73,33,-52,90,-44,65,53.0,57.31543624161074,35.0,30.967129241265184,0.0,0.0,76.86205265937357,70.99806773404472,76.86205265937357,42.97641078909905,56.20657415174697,20.46728215781981,59.53878577193795,32.26661246135954,9.620763943410715,94.7,47.0,21.04646161836486,49.430602062687626
